run,variant,commands_per_s,p50_ms,p95_ms,p99_ms,max_ms,commit_batches,batch_avg,batch_min,batch_max,log_sha256
1,legacy-tail,234523,240.266,318.713,349.001,363.664,160,6553.6,1,16384,19be9b827aeb7cd0e82e80df888b4765a99b974493f68d59d31863b36a3eaf16
2,adaptive-tail,305285,177.679,245.190,273.403,296.206,128,8192.0,1,16384,6204014f69d59b47b292ba3a9e12a2511b453cf32462460fb33238f0362aeee3
3,adaptive-tail,298016,183.123,269.006,338.348,367.631,148,7085.0,2,16384,1bbacf2c0b324006a50cab9d7af82d013eabac23db6872ea9e61193c63458b99
4,legacy-tail,254421,215.426,292.625,323.214,372.379,162,6472.7,1,16384,dcf6a53bd1fe058caceb6cf90f12c599218cb4c5b472c66f229d16a7f6405380
5,adaptive-tail,301792,181.650,306.497,355.720,385.683,92,11397.6,1,16384,9ed3cfe5617c85de9c081f51cf6020f1f7015d2d06b0f0c941161368a4f4a03d
6,legacy-tail,196550,287.742,354.753,376.630,435.137,88,11915.6,1,16384,615a27d695fae5a93be3f0bb83a76be04c5971329488677541b264459d9a9887
7,legacy-tail,214426,262.408,322.852,368.034,413.836,92,11397.6,21,16384,0341d0bacd16d5f48cd0083825c01f876eba2b7d4dd5e7d6f1606a359a54e573
8,adaptive-tail,261582,203.472,291.058,328.339,366.873,171,6132.0,1,16384,6de7a1688717b4abc025098d79cac216040d12bd560ae3328444df8534d20d06
9,legacy-tail,176797,322.560,399.727,468.844,492.647,79,13273.1,1,16384,aa20aa6f8bdca32e2986fcc73a62e71d4c0d7cc209fd191ce28da38ef9080a9d
10,adaptive-tail,228436,237.672,351.369,392.516,415.865,190,5518.8,1,16384,1aff6efdd29387fdf170acb46c739a43fd0660c06598323eca4ae0c7d36bd89d
11,adaptive-tail,228917,238.052,339.560,374.372,442.976,160,6553.6,1,16384,db450eeaedb903e0e7127526352c199caf565b3168e86d6392c813c132ed569c
12,legacy-tail,163412,345.514,428.883,464.361,496.935,89,11781.8,1,16384,e678d101b4472b0d821093ed8199601e33eafe4705c6e5ff7fc3ee2b5b63473b
13,adaptive-tail,258139,217.453,295.574,319.590,373.577,154,6808.9,1,16384,6f819b0ad677357c9cc9219148aac2e467f7f8c9169ad8ea82219352469f425c
14,legacy-tail,192246,301.530,388.238,415.616,439.826,103,10180.3,1,16384,84def7a01ede6accafa194028e79b409673509b2ad5cc4924eae77fc7a7fa0c4
15,legacy-tail,240075,227.695,304.498,337.161,390.389,179,5858.0,1,16384,fe7ede5e7cc10680affd5e9370f6c9c76d05b8db5da4c280278d4c92c2b7d8fd
16,adaptive-tail,304185,177.644,251.051,296.836,344.137,142,7384.3,1,16384,ff5685dfa0b1867355c008fb44a0c68769c7e582310f8416d36d9f7be71ad44b
