run_id,order,representation,lanes,items,batches,batch_items,event_rows,model_rows,data_ms,total_ms,data_items_per_s,ordered_items_per_s,max_active,verified
E153-CONTROL,1,event-insert-plus-model-copy,1,1048576,128,8192,8192,1024,978.162,978.774,1071986,1071316,1,true
E153-CONTROL,1,event-insert-plus-model-copy,2,1048576,128,8192,8192,1024,568.402,570.012,1844779,1839567,2,true
E153-CONTROL,1,event-insert-plus-model-copy,4,1048576,128,8192,8192,1024,321.542,323.319,3261081,3243161,4,true
E153-CONTROL,1,event-insert-plus-model-copy,8,1048576,128,8192,8192,1024,220.556,232.009,4754234,4519548,8,true
E154-CANDIDATE,2,event-insert-with-model-sidecars,1,1048576,128,8192,8192,1024,850.492,851.068,1232906,1232070,1,true
E154-CANDIDATE,2,event-insert-with-model-sidecars,2,1048576,128,8192,8192,1024,498.115,498.629,2105090,2102917,2,true
E154-CANDIDATE,2,event-insert-with-model-sidecars,4,1048576,128,8192,8192,1024,287.992,289.862,3640994,3617496,4,true
E154-CANDIDATE,2,event-insert-with-model-sidecars,8,1048576,128,8192,8192,1024,214.124,229.748,4897042,4564028,8,true
E155-CANDIDATE,3,event-insert-with-model-sidecars,1,1048576,128,8192,8192,1024,850.586,851.215,1232769,1231858,1,true
E155-CANDIDATE,3,event-insert-with-model-sidecars,2,1048576,128,8192,8192,1024,488.003,488.808,2148710,2145168,2,true
E155-CANDIDATE,3,event-insert-with-model-sidecars,4,1048576,128,8192,8192,1024,284.403,288.917,3686933,3629336,4,true
E155-CANDIDATE,3,event-insert-with-model-sidecars,8,1048576,128,8192,8192,1024,218.631,236.277,4796094,4437908,8,true
E156-CONTROL,4,event-insert-plus-model-copy,1,1048576,128,8192,8192,1024,1005.801,1006.511,1042528,1041793,1,true
E156-CONTROL,4,event-insert-plus-model-copy,2,1048576,128,8192,8192,1024,566.080,567.997,1852346,1846095,2,true
E156-CONTROL,4,event-insert-plus-model-copy,4,1048576,128,8192,8192,1024,334.606,336.273,3133766,3118231,4,true
E156-CONTROL,4,event-insert-plus-model-copy,8,1048576,128,8192,8192,1024,249.385,262.885,4204644,3988733,8,true
