delay_ms,pair,order,mode,throughput_per_s,p50_ms,p95_ms,p99_ms,max_ms,dispatch_batches,dispatch_average,benchmark_log_sha256,runtime_log_sha256
1,1,candidate-control,candidate,318647,169.626,252.010,292.003,324.297,143,7332.7,4f719a7f2111dd793b868493262503f8f4a1877b7ed875e5bc00e5b09b277d3a,7510ce50f9984daa3bdfb1f9769d94ab799716eda239dda6df515041b16a128b
1,1,candidate-control,control,302245,171.445,265.281,334.720,388.085,117,8962.2,a42344b42dd30cb95462f66470374f233c5702c366db0931340d314e431d568d,68414761af7dd3a66db979bb20b378c1446f955b8a28c7449b78776e0b86c0da
1,2,control-candidate,control,327682,159.826,229.106,254.619,298.002,166,6316.7,3ff9a27f338db311df2b8cf8e1da7c7484d3e8342d273de8ada777a84558fbb7,c6ca8af3bad77533699c148133760f2b8525ab9f3313095bcc7e70c56c1adbed
1,2,control-candidate,candidate,315185,172.734,245.611,283.694,376.336,140,7489.8,41f32205d7ff52408d06198a8000675660d0908b6fda263678e478d5f450580f,fa7ba170b09c5c2fbee8f9aa196f8a168838d835358d19ff168f986929d31b48
1,3,candidate-control,candidate,312367,167.904,256.645,284.539,305.325,138,7598.4,9ff3763b305a892ca9e139d7c1254807976262cf4502c6434570a9aa333f0117,9b8645e7d3ba86b560d5cd92b49412ff4855a484353c071fd4f48928fbd0fe3f
1,3,candidate-control,control,315087,166.791,242.177,268.985,294.301,152,6898.5,22b0c3bea5b57e8a0c06914a7ae29c5c2f4bb38d90b89f1cd6a464738db296c9,b072516e735063f23713855e0e0b27e2883e279e7b9947644fdcba22d7142e5e
1,4,control-candidate,control,309092,173.896,249.841,281.297,336.828,128,8192.0,233dc743a3fffd7c10beaa0182367d248df2cd269a86fcbcd0b8900a41c102ed,f30b22fb26a49f5d342d547a26be8f56c98fb3c32e48e27fcf268364f6e3f45c
1,4,control-candidate,candidate,314433,174.312,237.697,263.703,304.862,135,7767.2,ee2d103e85d792070657c7a46768a1a5e88468dd5a44e89ad0f1bc6d7860cc83,557833aa0d7c18254214e8788086460c9c531f335ef0d6a6e980afce35bfc3a5e
2,screen,control-candidate,control,312777,163.368,274.889,326.196,393.431,104,10082.5,81a4360c5765bec7b2c9ab3b7b57767b26db46afec7ded8d50e843e276431c4a,6a73143de72a618a2fd98d889dc4dd98eda025a99b63770d501701436bb94eca
2,screen,control-candidate,candidate,326167,168.826,226.590,251.118,286.951,152,6898.5,aa4be45248f298ef6871d2cfbe706f560a5f0225a10ee891cb8b726ab0c72263,a2ab8ec76d92d6b3811668ac752a73560991e423cba9732ee97f8f54f03a67b8
