order,pair,side,label,throughput,p50_ms,p95_ms,p99_ms,max_ms,dispatch_batches,dispatch_average,dispatch_min,dispatch_max,benchmark_log_sha256
1,1,control,e76-a1,331160,163.346,229.209,258.980,319.422,150,6990.5,1,16384,e187db2ff263009e494cb98c98ddffaec5b37c4b54dcb21d0910b38e0e5f0e46
2,1,candidate,e76-b1,341617,154.777,225.051,272.001,314.850,121,8665.9,1,16384,16b12eace3416131672b4b7e50fc98eb4c3d689ff3d578548238c4631ebefe12
3,2,candidate,e76-b2,342827,153.147,222.159,250.564,286.185,116,9039.4,3,16384,e1b841cb1d3717b1ccd98a3260521478144e232ea88ca9b6c7043b18724b823c
4,2,control,e76-a2,329324,167.063,229.651,266.663,300.559,129,8128.5,1,16384,68003bb3db7f0931ae7d6a216878fccde8b000ae82adc32c5c49114001b08b3a
5,3,candidate,e76-b3,351210,147.733,211.121,243.502,255.993,149,7037.4,1,16384,d0f09419eb64455b86e43cb7a6259a62172fcceb9afaa858f56f232118ee42a7
6,3,control,e76-a3,320204,167.930,230.445,256.871,287.124,147,7133.2,1,16384,37fbd1b0ba5e4d929839535cbd9badd0d16f30ce1cfd58721a922985a6e7abab
7,4,control,e76-a4,333778,161.592,216.347,244.324,293.553,138,7598.4,1,16384,00eca406a78723108ef80870e92a69e73f5883dc090adca3e169c22fcf552a73
8,4,candidate,e76-b4,344431,151.388,214.738,250.913,282.936,113,9279.4,1,16384,aa613a48dc209a35df358e9d2647d6c7cb472d397789ae19492f615665a80b30
9,5,candidate,e77-b5,332432,159.332,234.014,267.594,307.123,136,7710.1,1,16384,248ad978927b951113b6a1707cfafd41a3cf3d9276f5d657e108c6fb604eaa00
10,5,control,e77-a5,331695,161.867,227.568,251.186,290.812,123,8525.0,1,16384,fcee9879dfe807cd6cc3ed8f29479ef9a1b4491f2b6b67d31c17e9c4363b6276
11,6,control,e77-a6,326532,163.550,244.757,274.032,288.660,119,8811.6,1,16384,ca93fe3de17e2daf11011de1ba3c7f0a7ef2fc66e4d065c2160cd2bbaad0786e
12,6,candidate,e77-b6,346277,155.076,225.835,265.796,299.203,116,9039.4,1,16384,cf7fbcbac1167beaea64e854bbcdca4b4ca76b795ae0c01601ff7950844e5b4b
13,7,control,e77-a7,324252,168.175,232.797,262.271,279.125,167,6278.9,1,16384,067336c3133da4aea9628775df2b7b0dd282afd024f484287a71ae8f4a629d82
14,7,candidate,e77-b7,333348,162.839,232.853,278.567,305.200,159,6594.8,1,16384,47c0b213e70bf05e5792694fad8ae3baeb01aa62a78a3c4e8ae1f0417cbb1f88
15,8,candidate,e77-b8,341697,153.972,226.448,251.259,322.999,146,7182.0,7,16384,c450195321419f69e665abcc488740527579d2a9ac4cde4a07656d10c3fe31aa
16,8,control,e77-a8,328554,160.392,228.523,264.308,303.516,150,6990.5,1,16384,0da2b5ef4ada944fc3e3f233550ea8ce9af0128a4145c5d3e20c9317ff1ef0e7
