run_id,run_type,route,accepted_base,candidate,command_count,warmup_count,profiling,control_throughput,candidate_throughput,canonical_comparable,decision,code_status,evidence
F1-B0-1,canonical,full-command-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,phase1-B0-driver-9bc22279,4194304,262144,none,420348,407342,true,retain-lower-host-state-observation,accepted,/private/tmp/model-feature-b0-phase1-canonical-1.log#30fbfdd4dfa1886574b5d3acd711e2ea728f9ccaec0790fb9afa06439e935960
F1-B0-D0,canonical,full-command-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,pre-phase1-driver-control,4194304,262144,none,420348,412985,true,matched-old-driver-bracket,diagnostic-only,/private/tmp/model-feature-b0-old-driver-control.log#7d3b971de4ded3ac94780c97896505dfef73c9f4af33955fdc6664ef788573c1
F1-B0-2,canonical,full-command-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,phase1-B0-driver-9bc22279,4194304,262144,none,420348,420559,true,accept-current-phase1-pin,accepted,/private/tmp/model-feature-b0-phase1-canonical-2.log#e4003d1a3dbab2c06b569db78ab5370a54bd22a42472fb13e261373cda9013c7
F1-M1-S,smoke,full-command-model-event-result-standard-metrics,P5-0c23c91f+graph-fix-ef24c66a,M1-standard-metrics,257,129,none,,3554,false,correctness-qualified-throughput-noncanonical,accepted,/private/tmp/model-feature-phase1-M1-smoke.log#bd729c0070923bf126eb751fde513c5708c130c9f4d3553e0644ae1c06ddf835
F1-S1-S,smoke,full-command-searchable-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,S1-searchable,257,129,none,,2517,false,correctness-qualified-throughput-noncanonical,accepted,/private/tmp/model-feature-phase1-S1-smoke.log#60fe92077b9ae9929113f3c25f7adb21b55acf5fa1f683af1bce307a19ed2688
F1-R1-S,smoke,full-command-related-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,R1-stable-parent,257,129,none,,5961,false,correctness-qualified-throughput-noncanonical,accepted,/private/tmp/model-feature-phase1-R1-smoke.log#f518aeac27057b31709735eadb561da809b96603c944c52fe9597fe6acda3073
F1-R2-S,smoke,full-command-related-model-event-result,P5-0c23c91f+graph-fix-ef24c66a,R2-one-percent-parent-moves,257,129,none,,4024,false,correctness-qualified-with-five-measured-moves,accepted,/private/tmp/model-feature-phase1-R2-smoke.log#af52f859d370d72df9580f6527b97a5308f8bb74d28b80f1ba9779a8c77373b5
F1-G1-S,smoke,full-command-related-model-event-result-graph-async,P5-0c23c91f+graph-fix-ef24c66a,G1-graph-async,257,129,none,,2346,false,correctness-qualified-with-exact-catch-up,accepted,/private/tmp/model-feature-phase1-G1-smoke.log#566ac9f770d4052a6bd638c2f2a8676b8076e8ba3ed3758ccb23d19b525caef2
F1-G2-S,smoke,full-command-related-model-event-result-graph-await,P5-0c23c91f+graph-fix-ef24c66a,G2-graph-await,257,129,none,,89,false,correctness-qualified-current-await-cost-characterized,accepted,/private/tmp/model-feature-phase1-G2-smoke.log#ca48ea96996a19e7a2b43933ae428681fbebbee7fbc7f7352fa3ce1418aedced
F1-M1-P,smoke,full-command-model-event-result-standard-metrics,P5-0c23c91f+graph-fix-ef24c66a,M1-durable-metric-proof-e5e00610,257,129,none,,3869,false,prove-1220-durable-metrics-after-measurement-start,accepted,/private/tmp/model-feature-phase1-M1-metric-proof-smoke.log#e34f65ae480c86e21e1b44b134dadb662d9e19b1da7c1503df244585561eafc9
F1-M1-1,canonical,full-command-model-event-result-standard-metrics,P5-0c23c91f+graph-fix-ef24c66a,M1-standard-metrics-e5e00610,4194304,262144,none,422109,150587,true,characterize-minus-64.3-percent-and-16815908-durable-metrics,accepted,/private/tmp/model-feature-phase1-M1-canonical-1.log#51a0341897ecf06e2b88351c958c77b541c0e50886cdea04b3228104d6eabead
